IMDBid,Jacob,WikiLink,Ceremony,SubmissionCountry,NominationTitle,Languages,Directors,Result,QID,titleType,primaryTitle,originalTitle,imdbYear,runtimeMinutes,genres,CeremonyYear,YearOffset
tt0103190,,/wiki/Van_Gogh_(1991_film),64,France,Van Gogh,French,Maurice Pialat,Not nominated,Q2301836,movie,Van Gogh,Van Gogh,1991,158,"Adventure,Biography,Drama",1992,1
tt0101640,,/wiki/Raise_the_Red_Lantern,64,Hong Kong,Raise the Red Lantern,Mandarin Chinese,Zhang Yimou,Nominated,Q665146,movie,Raise the Red Lantern,Da hong denglong gaogao gua,1991,125,"Drama,Romance",1992,1
tt0104247,,/wiki/Brats_(1991_film),64,Hungary,Brats,Hungarian,János Rózsa,Not nominated,Q21646196,movie,Félálom,Félálom,1991,86,Drama,1992,1
tt0101526,,/wiki/Children_of_Nature,64,Iceland,Children of Nature,Icelandic,Friðrik Þór Friðriksson,Nominated,Q550516,movie,Children of Nature,Börn náttúrunnar,1991,82,"Drama,Romance",1992,1
tt0121352,,/wiki/Henna_(film),64,India,Henna,"Hindi, Urdu",Randhir Kapoor,Not nominated,Q5714757,movie,Henna,Henna,1991,184,"Drama,Musical,Romance",1992,1
tt0104834,,/wiki/Beyond_the_Sea_(1991_film),64,Israel,Beyond the Sea,Hebrew,Jacob Goldwasser,Not nominated,Q6939770,movie,Over the Ocean,Me'ever Layam,1991,91,Drama,1992,1
tt0102426,,/wiki/Mediterraneo,64,Italy,Mediterraneo,Italian Greek,Gabriele Salvatores,Won Academy Award,Q661660,movie,Mediterraneo,Mediterraneo,1991,96,"Comedy,Drama,War",1992,1
tt0101991,,/wiki/Rhapsody_in_August,64,Japan,Rhapsody in August,Japanese,Akira Kurosawa,Not nominated,Q660874,movie,Rhapsody in August,Hachigatsu no rapusodî,1991,98,Drama,1992,1
tt0100746,,/wiki/Homework_(1991_film),64,Mexico,Homework,Spanish,Jaime Humberto Hermosillo,Not nominated,Q646611,movie,Homework,La tarea,1991,85,"Comedy,Drama,Romance",1992,1
tt0101805,,/wiki/Eline_Vere_(film),64,Netherlands,Eline Vere,Dutch,Harry Kümel,Not nominated,Q2491641,movie,Eline Vere,Eline Vere,1991,132,Drama,1992,1
tt0104302,,/wiki/Frida_%E2%80%93_Straight_from_the_Heart,64,Norway,Frida – Straight from the Heart,Norwegian,Berit Nesheim,Not nominated,Q655992,movie,Frida - med hjertet i hånden,Frida - med hjertet i hånden,1991,113,"Comedy,Romance",1992,1
tt0101293,,/wiki/Alias_%27La_Gringa%27,64,Peru,Alias 'La Gringa',Spanish,Alberto Durant,Not nominated,Q21044223,movie,Alias 'La Gringa',Alias 'La Gringa',1991,92,"Action,Drama,Romance",1992,1
tt0101765,,/wiki/The_Double_Life_of_V%C3%A9ronique,64,Poland,The Double Life of Véronique,"Polish, French",Krzysztof Kieślowski,Not nominated,Q1130211,movie,The Double Life of Véronique,La double vie de Véronique,1991,98,"Drama,Fantasy,Music",1992,1
tt0098252,,/wiki/O_Sangue,64,Portugal,O Sangue,Portuguese,Pedro Costa,Not nominated,Q7073322,movie,Blood,O Sangue,1989,95,"Drama,Mystery",1992,3
tt0101946,,/wiki/Get_Thee_Out,64,Soviet Union,Get Thee Out,Russian,Dmitriy Astrakhan,Not nominated,Q9098038,movie,Izydi!,Izydi!,1991,83,"Comedy,Drama",1992,1
tt0103030,,/wiki/High_Heels_(1991_film),64,Spain,High Heels,Spanish,Pedro Almodóvar,Not nominated,Q650043,movie,High Heels,Tacones lejanos,1991,112,"Comedy,Drama,Romance",1992,1
tt0102619,,/wiki/The_Ox_(film),64,Sweden,The Ox,Swedish,Sven Nykvist,Nominated,Q1675241,movie,The Ox,Oxen,1991,92,Drama,1992,1
tt0099120,,/wiki/The_Mountain_(1991_film),64,Switzerland,Der Berg,German,Markus Imhoof,Not nominated,Q1192451,movie,Der Berg,Der Berg,1990,103,Drama,1992,2
tt0101985,,/wiki/A_Brighter_Summer_Day,64,Taiwan,A Brighter Summer Day,Mandarin Chinese,Edward Yang,Not nominated,Q710745,movie,A Brighter Summer Day,Guling jie shaonian sharen shijian,1991,237,"Crime,Drama,Romance",1992,1
tt0103322,,/wiki/Lost_in_Siberia,64,United Kingdom,Lost in Siberia,Russian,Alexander Mitta,Not nominated,Q3621948,movie,Lost in Siberia,Zateryannyy v Sibiri,1991,140,"Drama,Romance",1992,1
tt0095394,,/wiki/Jericho_(1991_film),64,Venezuela,Jericho,Spanish,Luis Alberto Lamata,Not nominated,Q21072454,movie,Jericho,Jericó,1991,90,"Adventure,Drama",1992,1
tt0180888,,/wiki/The_Original_of_the_Forgery,64,Yugoslavia,The Original of the Forgery,Serbian,Dragan Kresoja,Not nominated,Q12756741,movie,The Original of the Forgery,Original falsifikata,1991,117,Drama,1992,1
tt0104662,,/wiki/The_Dark_Side_of_the_Heart,65,Argentina,The Dark Side of the Heart,Spanish,Eliseo Subiela,Not nominated,Q8773893,movie,The Dark Side of the Heart,El lado oscuro del corazón,1992,127,"Comedy,Drama,Romance",1993,1
tt0103793,,/wiki/Benny%27s_Video,65,Austria,Benny's Video,German,Michael Haneke,Not nominated,Q673643,movie,Benny's Video,Benny's Video,1992,110,"Crime,Drama",1993,1
tt0104046,,/wiki/Daens_(film),65,Belgium,Daens,"Dutch, French",Stijn Coninx,Nominated,Q1675401,movie,Daens,Daens,1992,138,"Biography,Drama,History",1993,1
tt0104782,,/wiki/L%C3%A9olo,65,Canada,Léolo,French,Jean-Claude Lauzon,Not nominated,Q1879405,movie,Leolo,Léolo,1992,107,"Comedy,Drama,Fantasy",1993,1
tt0105197,,/wiki/The_Story_of_Qiu_Ju,65,China,The Story of Qiu Ju,Chinese,Zhang Yimou,Not nominated,Q644174,movie,The Story of Qiu Ju,Qiu Ju da guan si,1992,100,"Comedy,Drama",1993,1
tt0100698,,/wiki/Story_from_Croatia,65,Croatia,Story from Croatia,Croatian,Krsto Papić,Not nominated,Q3505792,movie,Story from Croatia,Prica iz Hrvatske,1991,95,Drama,1993,2
tt0103620,,/wiki/Adorable_Lies,65,Cuba,Adorable Lies,Spanish,Gerardo Chijona,Not nominated,Q21028342,movie,Adorable Lies,Adorables mentiras,1992,108,Comedy,1993,1
tt0105436,,/wiki/Sofie_(film),65,Denmark,Sofie,Danish,Liv Ullmann,Not nominated,Q12001708,movie,Sofie,Sofie,1992,151,Drama,1993,1
tt0104978,,/wiki/Those_Old_Love_Letters,65,Estonia,Those Old Love Letters,Estonian,Mati Põldre,Not nominated,Q12370921,movie,Need vanad armastuskirjad,Need vanad armastuskirjad,1992,127,"Biography,Drama,Music",1993,1
tt0104507,,/wiki/Indochine_(film),65,France,Indochina,French,Régis Wargnier,Won Academy Award,Q1130644,movie,Indochine,Indochine,1992,160,"Drama,Romance,War",1993,1
tt0105328,,/wiki/Schtonk!,65,Germany,Schtonk!,German,Helmut Dietl,Nominated,Q314120,movie,Schtonk,Schtonk,1992,115,"Comedy,Crime",1993,1
tt0105919,,"/wiki/Sweet_Emma,_Dear_B%C3%B6be",65,Hungary,"Sweet Emma, Dear Böbe",Hungarian,István Szabó,Not nominated,Q291168,movie,"Dear Emma, Sweet Böbe","Édes Emma, drága Böbe - vázlatok, aktok",1992,90,"Drama,Romance",1993,1
tt0105504,,/wiki/As_in_Heaven,65,Iceland,As in Heaven,Icelandic,Kristín Jóhannesdóttir,Not nominated,Q1767012,movie,As in Heaven,Svo á jörðu sem á himni,1992,122,"Drama,History",1993,1
tt0105575,,/wiki/Thevar_Magan,65,India,Thevar Magan,Tamil,Bharathan,Not nominated,Q3536743,movie,Thevar Magan,Thevar Magan,1992,145,Drama,1993,1
tt0103810,,/wiki/Mer%27s_Lips,65,Indonesia,Mer's Lips,Indonesian,Arifin C. Noer,Not nominated,Q6817848,movie,Bibir Mer,Bibir Mer,1992,95,"Comedy,Drama",1993,1
tt0103945,,/wiki/Life_According_to_Agfa,65,Israel,Life According to Agfa,Hebrew,Assi Dayan,Not nominated,Q390371,movie,Life According to Agfa,Ha-Chayim Al-Pi Agfa,1992,100,Drama,1993,1
tt0104663,,/wiki/The_Stolen_Children,65,Italy,The Stolen Children,Italian,Gianni Amelio,Not nominated,Q647997,movie,The Stolen Children,Il ladro di bambini,1992,114,"Crime,Drama",1993,1
tt0105060,,/wiki/The_Oil-Hell_Murder,65,Japan,The Oil-Hell Murder,Japanese,Hideo Gosha,Not nominated,Q7754776,movie,The Oil-Hell Murder,Onna goroshi abura no jigoku,1992,115,Drama,1993,1
tt0104224,,/wiki/The_Fall_of_Otrar,65,Kazakhstan,The Fall of Otrar,"Kazakh, Mandarin, Mongolian",Ardak Amirkulov,Not nominated,Q21646393,movie,The Fall of Otrar,Gibel Otrara,1991,176,"Drama,History,War",1993,2
tt0103971,,/wiki/The_Child_of_Man,65,Latvia,The Child of Man,Latvian,Jānis Streičs,Not nominated,Q2080565,movie,Cilveka berns,Cilveka berns,1992,98,"Comedy,Drama,Fantasy",1993,1
tt0103994,,/wiki/Like_Water_for_Chocolate_(film),65,Mexico,Like Water for Chocolate,Spanish,Alfonso Arau,Not nominated,Q5196238,movie,Like Water for Chocolate,Como agua para chocolate,1992,105,"Drama,Romance",1993,1
tt0105019,,/wiki/The_Northerners,65,Netherlands,The Northerners,Dutch,Alex van Warmerdam,Not nominated,Q2615833,movie,The Northerners,De noorderlingen,1992,108,"Comedy,Drama",1993,1
tt0104640,,/wiki/The_Warrior%27s_Heart,65,Norway,The Warrior's Heart,Norwegian,Leidulv Risan,Not nominated,Q7773591,movie,The Warrior's Heart,Krigerens hjerte,1992,102,"Drama,War",1993,1
tt0105841,,/wiki/All_That_Really_Matters,65,Poland,All That Really Matters,Polish,Robert Gliński,Not nominated,Q9378808,movie,"Wszystko, co najwazniejsze...","Wszystko, co najwazniejsze...",1992,98,"Biography,Drama,War",1993,1
tt0104099,,/wiki/Day_of_Despair,65,Portugal,Day of Despair,Portuguese,Manoel de Oliveira,Not nominated,Q2091696,movie,O Dia do Desespero,O Dia do Desespero,1992,75,"Biography,Drama",1993,1
tt0104445,,/wiki/Luxury_Hotel,65,Romania,Luxury Hotel,Romanian,Dan Pița,Not nominated,Q3786967,movie,Hotel de lux,Hotel de lux,1992,105,Drama,1993,1
tt0103176,,/wiki/Close_to_Eden,65,Russia,Close to Eden,Russian,Nikita Mikhalkov,Nominated,Q1169942,movie,Close to Eden,Urga,1991,119,"Adventure,Drama,Romance",1993,2
tt0104788,,/wiki/The_Fencing_Master_(film),65,Spain,The Fencing Master,Spanish,Pedro Olea,Not nominated,Q745544,movie,The Fencing Master,El maestro de esgrima,1992,88,"Drama,Fantasy,History",1993,1
tt0105916,,/wiki/House_of_Angels,65,Sweden,House of Angels,Swedish,Colin Nutley,Not nominated,Q1767472,movie,House of Angels,Änglagård,1992,127,"Comedy,Drama",1993,1
tt0105908,,/wiki/Off_Season_(1992_film),65,Switzerland,Off Season,French,Daniel Schmid,Not nominated,Q12137523,movie,Off Season,Hors saison,1992,95,"Comedy,Drama",1993,1
tt0103699,,/wiki/Secret_Love_for_the_Peach_Blossom_Spring_(film),65,Taiwan,Peach Blossom Land,Chinese,Stan Lai,Not nominated,Q11090355,movie,Secret Love in Peach Blossom Land,An lian tao hua yuan,1992,107,"Comedy,Drama,History",1993,1
tt0105137,,/wiki/Piano_Piano_Kid,65,Turkey,Piano Piano Kid,Turkish,Tunç Başaran,Not nominated,Q6054267,movie,Piano Piano Kid,Piano Piano Bacaksiz,1991,81,"Comedy,Drama,Family",1993,2
tt0104774,,/wiki/A_Place_in_the_World_(film),65,Uruguay,A Place in the World,Spanish,Adolfo Aristarain,Nominated and Disqualified,Q1675415,movie,A Place in the World,Un lugar en el mundo,1992,120,Drama,1993,1
tt0106989,,"/wiki/Gatica,_el_mono",66,Argentina,"Gatica, el mono",Spanish,Leonardo Favio,Not nominated,Q17016681,movie,"Gatica, the Monkey","Gatica, el mono",1993,136,"Biography,Drama,Sport",1994,1
tt0107214,,/wiki/Indien_(film),66,Austria,Indien,German,Paul Harather,Not nominated,Q1661356,movie,India,Indien,1993,90,"Comedy,Drama",1994,1
tt0107291,,/wiki/Just_Friends_(1993_film),66,Belgium,Just Friends,"Dutch, French",Marc-Henri Wajnberg,Not nominated,Q3190278,movie,Just Friends,Just Friends,1993,95,"Drama,Music",1994,1
tt0106511,,/wiki/Canary_Season,66,Bulgaria,Canary Season,Bulgarian,Evgeni Mihailov,Not nominated,Q12293490,movie,Canary Season,Sezonat na kanarchetata,1993,128,Drama,1994,1
tt0108094,,/wiki/The_Sex_of_the_Stars,66,Canada,The Sex of the Stars,French,Paule Baillargeon,Not nominated,Q3227149,movie,Le sexe des étoiles,Le sexe des étoiles,1993,104,Drama,1994,1
tt0107274,,/wiki/Johnny_100_Pesos,66,Chile,Johnny 100 Pesos,Spanish,Gustavo Graef-Marino,Not nominated,Q5933802,movie,Johnny One Hundred Pesos,Johnny 100 Pesos,1993,90,"Crime,Drama,Thriller",1994,1
tt0106617,,/wiki/Country_Teachers,66,China,Country Teachers,Mandarin Chinese,He Qun,Not nominated,Q21646263,movie,Feng huang qin,Feng huang qin,1993,90,Drama,1994,1
tt0107339,,/wiki/Countess_Dora,66,Croatia,Countess Dora,Serbo-Croatian,Zvonimir Berković,Not nominated,Q3506191,movie,Kontesa Dora,Kontesa Dora,1993,117,"Biography,Drama,History",1994,1
tt0108193,,/wiki/Black_Harvest_(1993_film),66,Denmark,Black Harvest,Danish,Anders Refn,Not nominated,Q12336495,movie,Black Harvest,Sort høst,1993,120,Drama,1994,1
tt0107966,,/wiki/Ripa_Hits_the_Skids,66,Finland,Ripa Hits the Skids,Finnish,Christian Lindblad,Not nominated,Q6646655,movie,Ripa Hits the Skids,Ripa ruostuu,1993,80,"Comedy,Drama",1994,1
tt0107002,,/wiki/Germinal_(1993_film),66,France,Germinal,French,Claude Berri,Not nominated,Q1479633,movie,Germinal,Germinal,1993,160,"Drama,Romance",1994,1
tt0107296,,/wiki/Justice_(1993_film),66,Germany,Justiz,German,Hans W. Geißendörfer,Not nominated,Q1714284,movie,Justiz,Justiz,1993,106,Drama,1994,1
tt0106332,,/wiki/Farewell_My_Concubine_(film),66,Hong Kong,Farewell My Concubine,Mandarin Chinese,Chen Kaige,Nominated,Q696413,movie,Farewell My Concubine,Ba wang bie ji,1993,171,"Drama,Music,Romance",1994,1
tt0108194,,/wiki/We_Never_Die,66,Hungary,We Never Die,Hungarian,Róbert Koltai,Not nominated,Q1290451,movie,Sose halunk meg,Sose halunk meg,1993,95,"Comedy,Drama",1994,1
tt0107100,,/wiki/The_Sacred_Mound,66,Iceland,The Sacred Mound,Icelandic,Hrafn Gunnlaugsson,Not nominated,Q16427792,movie,The Sacred Mound,Hin helgu vé,1993,84,Drama,1994,1
tt0108001,,/wiki/Rudaali,66,India,Rudaali,Hindi,Kalpana Lajmi,Not nominated,Q3413642,movie,Rudaali,Rudaali,1993,128,Drama,1994,1
tt0107690,,/wiki/Revenge_of_Itzik_Finkelstein,66,Israel,Revenge of Itzik Finkelstein,Hebrew,Enrique Rottenberg,Not nominated,Q7218983,movie,The Revenge of Itzik Finkelstein,Nikmato Shel Itzik Finkelstein,1993,83,"Comedy,Fantasy",1994,1
tt0107040,,/wiki/The_Great_Pumpkin_(film),66,Italy,The Great Pumpkin,Italian,Francesca Archibugi,Not nominated,Q1052486,movie,Il grande cocomero,Il grande cocomero,1993,95,"Drama,Family",1994,1
tt0107474,,/wiki/Madadayo,66,Japan,Madadayo,Japanese,Akira Kurosawa,Not nominated,Q1543027,movie,Madadayo,Mâdadayo,1993,134,Drama,1994,1
tt0104029,,/wiki/Cronos_(film),66,Mexico,Cronos,Spanish,Guillermo del Toro,Not nominated,Q1140945,movie,Cronos,Cronos,1992,94,"Drama,Fantasy,Horror",1994,2
tt0107331,,/wiki/The_Little_Blonde_Death,66,Netherlands,Little Blond Death,Dutch,Jean van de Velde,Not nominated,Q2357638,movie,The Little Blonde Dead,De kleine blonde dood,1993,95,Drama,1994,1
tt0108309,,/wiki/The_Telegraphist,66,Norway,The Telegraphist,Norwegian,Erik Gustavson,Not nominated,Q1767262,movie,The Telegraphist,Telegrafisten,1993,102,"Comedy,Drama",1994,1
tt0107948,,/wiki/Report_on_Death,66,Peru,Report on Death,Spanish,Danny Gavidia,Not nominated,Q6105846,movie,Reportaje a la muerte,Reportaje a la muerte,1993,95,"Action,Drama",1994,1
tt0108273,,/wiki/Szwadron,66,Poland,Squadron,Polish,Juliusz Machulski,Not nominated,Q4473305,movie,Szwadron,Szwadron,1992,100,"Drama,History,Romance",1994,2
tt0108471,,/wiki/Abraham%27s_Valley,66,Portugal,Abraham's Valley,Polish,Manoel de Oliveira,Not nominated,Q123259,movie,Abraham's Valley,Vale Abraão,1993,187,Drama,1994,1
tt0107792,,/wiki/The_Conjugal_Bed_(1993_film),66,Romania,The Conjugal Bed,Romanian,Mircea Daneliuc,Not nominated,Q7727360,movie,Intimate Bed,Patul conjugal,1993,102,Comedy,1994,1
tt0105775,,/wiki/Everything_I_Like,66,Slovakia,Everything I Like,Slovak,Martin Šulík,Not nominated,Q12779150,movie,Vsetko co mam rad,Vsetko co mam rad,1993,90,Drama,1994,1
tt0107334,,/wiki/When_I_Close_My_Eyes_(1993_film),66,Slovenia,When I Close My Eyes,Slovene,Franci Slak,Not nominated,Q9266602,movie,Ko zaprem oci,Ko zaprem oci,1993,99,"Crime,Romance,Thriller",1994,1
tt0103791,,/wiki/Belle_%C3%89poque_(1992_film),66,Spain,Belle Époque,Spanish,Fernando Trueba,Won Academy Award,Q1675466,movie,Belle Epoque,Belle Epoque,1992,109,"Comedy,Drama,Romance",1994,2
tt0107349,,/wiki/The_Slingshot_(film),66,Sweden,The Slingshot,Swedish,Åke Sandgren,Not nominated,Q4395391,movie,The Slingshot,Kådisbellan,1993,102,Drama,1994,1
tt0107278,,/wiki/The_Diary_of_Lady_M,66,Switzerland,The Diary of Lady M,French,Alain Tanner,Not nominated,Q18604474,movie,The Diary of Lady M,Le journal de Lady M,1993,113,Drama,1994,1
tt0107156,,/wiki/The_Wedding_Banquet,66,Taiwan,The Wedding Banquet,"Mandarin Chinese, English",Ang Lee,Nominated,Q182071,movie,The Wedding Banquet,Xi yan,1993,106,"Comedy,Drama,Romance",1994,1
tt0107533,,/wiki/The_Blue_Exile,66,Turkey,The Blue Exile,Turkish,Erden Kıral,Not nominated,Q6091358,movie,The Blue Exile,Mavi Sürgün,1993,108,"Biography,Drama",1994,1
tt0104403,,/wiki/Hedd_Wyn_(film),66,United Kingdom,Hedd Wyn,"Welsh, English",Paul Turner,Nominated,Q774626,movie,Hedd Wyn,Hedd Wyn,1992,123,"Drama,Romance,War",1994,2
tt0107617,,/wiki/The_Scent_of_Green_Papaya,66,Vietnam,The Scent of Green Papaya,Vietnamese,Tran Anh Hung,Nominated,Q1193051,movie,The Scent of Green Papaya,Mùi du du xanh,1993,104,"Drama,Music,Romance",1994,1
tt0103739,,/wiki/Autumn:_October_in_Algiers,67,Algeria,Autumn: October in Algiers,Arabic,Malik Lakhdar-Hamina,Not nominated,Q21646119,movie,Automne... Octobre à Alger,Automne... Octobre à Alger,1993,92,Drama,1995,2
tt0111236,,/wiki/A_Shadow_You_Soon_Will_Be,67,Argentina,A Shadow You Soon Will Be,Spanish,Héctor Olivera,Not nominated,Q21646983,movie,A Shadow You Soon Will Be,Una sombra ya pronto serás,1994,105,Drama,1995,1
tt0110101,,/wiki/I_Promise_(film),67,Austria,I Promise,German,Wolfgang Murnberger,Not nominated,Q1656237,movie,Ich gelobe,Ich gelobe,1994,115,Drama,1995,1
tt0107588,,"/wiki/Me_Ivan,_You_Abraham",67,Belarus,"Me Ivan, You Abraham","Yiddish, Polish, Russian",Yolande Zauberman,Not nominated,Q3319194,movie,Ivan & Abraham,"Moi Ivan, toi Abraham",1993,105,Drama,1995,2
tt0109771,,/wiki/Farinelli_(film),67,Belgium,Farinelli,"French, Italian",Gérard Corbiau,Nominated,Q1341293,movie,Farinelli,Farinelli,1994,111,"Biography,Drama,Music",1995,1
tt0110430,,/wiki/The_Awkward_Age_(film),67,Bosnia and Herzegovina,The Awkward Age,Serbo-Croatian,Nenad Dizdarević,Not nominated,Q21647100,movie,The Awkward Age,Magarece godine,1994,97,Drama,1995,1
tt0107662,,/wiki/Rice_People,67,Cambodia,Rice People,Khmer,Rithy Panh,Not nominated,Q2746382,movie,The Rice People,Neak sre,1994,125,Drama,1995,1
tt0110554,,/wiki/My_Friend_Max,67,Canada,Mon Amie Max,French,Michel Brault,Not nominated,Q3319823,movie,Mon amie Max,Mon amie Max,1994,106,Drama,1995,1
tt0109105,,/wiki/Amnesia_(1994_film),67,Chile,Amnesia,Spanish,Gonzalo Justiniano,Not nominated,Q5672882,movie,Amnesia,Amnesia,1994,90,Drama,1995,1
tt0109747,,/wiki/The_Strategy_of_the_Snail,67,Colombia,The Strategy of the Snail,Spanish,Sergio Cabrera,Not nominated,Q127376,movie,La estrategia del caracol,La estrategia del caracol,1993,116,"Comedy,Drama",1995,2
tt0111647,,/wiki/Vukovar:_The_Way_Home,67,Croatia,Vukovar: The Way Home,Serbo-Croatian,Branko Schmidt,Not nominated,Q7943427,movie,Vukovar se vraca kuci,Vukovar se vraca kuci,1994,99,"Drama,War",1995,1
tt0106966,,/wiki/Strawberry_and_Chocolate,67,Cuba,Strawberry and Chocolate,Spanish,Tomás Gutiérrez Alea & Juan Carlos Tabío,Nominated,Q925448,movie,Strawberry & Chocolate,Fresa y chocolate,1993,108,"Comedy,Drama,Romance",1995,2
tt0109781,,/wiki/Faust_(1994_film),67,Czech Republic,Lesson Faust,Czech,Jan Švankmajer,Not nominated,Q2593047,movie,Faust,Faust,1994,97,"Animation,Comedy,Drama",1995,1
tt0110520,,"/wiki/Carl,_My_Childhood_Symphony",67,Denmark,"Carl, My Childhood Symphony",Danish,Erik Clausen,Not nominated,Q6862535,movie,"Carl, My Childhood Symphony",Min fynske barndom,1994,125,"Biography,Drama,Music",1995,1
tt0106304,,/wiki/Land_of_Dreams_(1993_film),67,Egypt,Land of Dreams,Arabic,Daoud Abdel Sayed,Not nominated,Q20386762,movie,Land of Dreams,Ard el ahlam,1993,118,"Comedy,Family,Mystery",1995,2
tt0111019,,/wiki/Wild_Reeds,67,France,Wild Reeds,French,André Téchiné,Not nominated,Q1656834,movie,Wild Reeds,Les roseaux sauvages,1994,110,Drama,1995,1
tt0111613,,/wiki/The_Promise_(1995_film),67,Germany,The Promise,German,Margarethe von Trotta,Not nominated,Q325355,movie,Das Versprechen,Das Versprechen,1994,115,"Drama,Romance",1995,1
tt0111186,,/wiki/The_Silence_of_Neto,67,Guatemala,The Silence of Neto,Spanish,Luis Argueta,Not nominated,Q21071038,movie,El silencio de Neto,El silencio de Neto,1994,106,Drama,1995,1
tt0111424,,/wiki/The_Day_the_Sun_Turned_Cold,67,Hong Kong,The Day the Sun Turned Cold,Mandarin,Yim Ho,Not nominated,Q5411788,movie,The Day the Sun Turned Cold,Tian guo ni zi,1994,99,"Crime,Drama,Mystery",1995,1
tt0111749,,/wiki/Woyzeck_(1994_film),67,Hungary,Woyzeck,Hungarian,János Szász,Not nominated,Q21020853,movie,Woyzeck,Woyzeck,1994,93,Drama,1995,1
tt0109273,,/wiki/Movie_Days,67,Iceland,Movie Days,Icelandic,Friðrik Þór Friðriksson,Not nominated,Q617152,movie,Movie Days,Bíódagar,1994,82,Drama,1995,1
tt0109206,,/wiki/Bandit_Queen,67,India,Bandit Queen,Hindi,Shekhar Kapur,Not nominated,Q2762808,movie,Bandit Queen,Bandit Queen,1994,119,"Action,Biography,Crime",1995,1
tt0111845,,/wiki/Through_the_Olive_Trees,67,Iran,Through the Olive Trees,Persian,Abbas Kiarostami,Not nominated,Q2485167,movie,Through the Olive Trees,Zire darakhatan zeyton,1994,103,Drama,1995,1
tt0111140,,/wiki/Sh%27Chur,67,Israel,Sh'Chur,Hebrew,Shmuel Hasfari,Not nominated,Q7459830,movie,Sh'Chur,Sh'Chur,1994,100,Drama,1995,1
tt0110299,,/wiki/Lamerica,67,Italy,Lamerica,"Italian, Albanian",Gianni Amelio,Not nominated,Q1738422,movie,Lamerica,Lamerica,1994,116,"Comedy,Drama",1995,1
tt0110008,,/wiki/Pom_Poko,67,Japan,The Raccoon War,Japanese,Isao Takahata,Not nominated,Q167206,movie,Pom Poko,Heisei tanuki gassen ponpoko,1994,119,"Animation,Comedy,Drama",1995,1
tt0110882,,/wiki/Before_the_Rain_(1994_film),67,Macedonia,Before the Rain,"Macedonian, Albanian, English",Milcho Manchevski,Nominated,Q911013,movie,Before the Rain,Pred dozhdot,1994,113,"Drama,Romance,War",1995,1
tt0110894,,/wiki/The_Beginning_and_the_End_(1993_film),67,Mexico,The Beginning and the End,Spanish,Arturo Ripstein,Not nominated,Q15500718,movie,The Beginning and the End,Principio y fin,1993,188,Drama,1995,2
tt0109001,,/wiki/1-900_(film),67,Netherlands,6,Dutch,Theo van Gogh,Not nominated,Q161206,movie,1-900,6,1994,87,"Drama,Romance",1995,1
tt0111421,,/wiki/Cross_My_Heart_and_Hope_to_Die_(film),67,Norway,Cross My Heart and Hope to Die,Norwegian,Marius Holst,Not nominated,Q1765704,movie,Cross My Heart and Hope to Die,Ti kniver i hjertet,1994,96,Drama,1995,1
tt0111196,,/wiki/Without_Compassion,67,Peru,Without Compassion,Spanish,Francisco José Lombardi,Not nominated,Q8028217,movie,Without Compassion,Sin compasión,1994,120,"Crime,Drama",1995,1
tt0111507,,/wiki/Three_Colors:_White,67,Poland,Three Colors: White,"Polish, French",Krzysztof Kieślowski,Not nominated,Q933437,movie,Three Colors: White,Trois couleurs: Blanc,1994,92,"Comedy,Drama,Romance",1995,1
tt0111509,,/wiki/Three_Palm_Trees,67,Portugal,Three Palm Trees,Portuguese,João Botelho,Not nominated,Q19600056,movie,Três Palmeiras,Três Palmeiras,1994,68,"Comedy,Drama",1995,1
tt0110356,,/wiki/Linda_Sara,67,Puerto Rico,Linda Sara,Spanish,Jacobo Morales,Not nominated,Q6551946,movie,Linda Sara,Linda Sara,1994,107,"Comedy,Drama,Romance",1995,1
tt0110807,,/wiki/Pepe_%26_Fifi,67,Romania,Pepe & Fifi,Romanian,Dan Pița,Not nominated,Q18545289,movie,Pepe si Fifi,Pepe si Fifi,1994,105,"Drama,Sport",1995,1
tt0111579,,/wiki/Burnt_by_the_Sun,67,Russia,Burnt by the Sun,Russian,Nikita Mikhalkov,Won Academy Award,Q1127167,movie,Burnt by the Sun,Utomlennye solntsem,1994,135,"Drama,War",1995,1
tt0111646,,"/wiki/Vukovar,_jedna_pri%C4%8Da",67,Serbia,Vukovar Poste Restante,Serbo-Croatian,Boro Drašković,Not nominated,Q12750038,movie,Vukovar Poste Restante,"Vukovar, jedna prica",1994,96,"Drama,Romance,War",1995,1
tt0109118,,/wiki/Angel_of_Mercy_(1993_film),67,Slovakia,Angel of Mercy,"Czech, Slovak",Miloslav Luther,Not nominated,Q12762354,movie,Angel of Mercy,Andel milosrdenství,1993,95,"Drama,Romance,War",1995,2
tt0110564,,/wiki/Morana_(film),67,Slovenia,Morana,Slovene,Aleš Verbič,Not nominated,Q21646731,movie,Morana,Morana,1994,104,"Horror,Mystery,Thriller",1995,1
tt0110041,,/wiki/Life_and_Death_of_the_Hollywood_Kid,67,South Korea,Life and Death of the Hollywood Kid,Korean,Chung Ji-young,Not nominated,Q15911528,movie,Life and Death of the Hollywood Kid,Hollywood Kid Eu Saeng-ae,1994,114,Drama,1995,1
tt0109372,,/wiki/Cradle_Song_(1994_film),67,Spain,Cradle Song,Spanish,José Luis Garci,Not nominated,Q5747228,movie,Canción de cuna,Canción de cuna,1994,101,Drama,1995,1
